"Distrito","Satisfaccion","Calidad","Tamaño","Ubicacion","Sexo","Edad","Año"
5,"8","7","9","8",2,65,2023
5,"1","1","5","10",2,47,2023
5,"8","8","8","10",1,63,2023
10,"6","7","8","10",2,81,2023
10,"8","9","10","9",1,71,2023
10,"10","9","9","10",1,37,2023
10,"7","7","9","8",2,49,2023
10,"10","10","10","10",1,36,2023
10,"9","9","9","10",2,22,2023
10,"6","7","7","9",2,52,2023
10,"10","9","8","10",2,52,2023
10,"9","8","9","10",1,55,2023
10,"5","7","6","10",2,50,2023
10,"7","7","7","9",2,43,2023
10,"7","8","8","9",1,80,2023
10,"10","10","10","10",1,62,2023
10,"9","9","10","10",1,48,2023
10,"6","7","7","9",1,81,2023
10,"10","10","10","10",1,32,2023
10,"1","7","5","5",1,46,2023
10,"7","7","7","7",2,55,2023
10,"5","6","6","6",2,40,2023
10,"8","8","8","9",2,19,2023
10,"6","8","6","6",1,25,2023
10,"7","5","6","7",1,67,2023
10,"5","6","6","5",2,19,2023
10,"9","9","9","9",1,38,2023
10,"9","7","9","10",1,30,2023
10,"8","9","8","9",1,45,2023
10,"7","9","8","10",2,18,2023
10,"8","8","10","8",2,55,2023
10,"6","6","5","7",2,45,2023
10,"10","8","9","10",2,41,2023
10,"9","8","8","10",1,36,2023
10,"5","7","7","8",1,50,2023
10,"8","7","8","9",1,41,2023
10,"10","10","10","10",1,19,2023
10,"10","7","5","7",2,50,2023
10,"8","9","8","8",2,41,2023
10,"10","8","8","10",2,18,2023
10,"5","5","7","9",1,25,2023
10,"10","10","8","10",1,24,2023
10,"10","8","8","10",1,55,2023
10,"7","7","5","7",1,31,2023
10,"8","8","9","5",1,63,2023
10,"10","10","10","10",1,32,2023
10,"8","8","8","7",1,35,2023
10,"8","8","7","9",1,43,2023
10,"10","10","10","10",2,37,2023
10,"5","7","1","5",2,34,2023
10,"6","7","7","9",1,54,2023
10,"10","10","10","9",1,28,2023
10,"10","10","10","10",1,42,2023
10,"10","8","10","10",2,21,2023
10,"9","9","9","9",1,27,2023
10,"9","8","8","9",2,32,2023
10,"7","7","7","9",1,27,2023
10,"7","6","5","9",2,64,2023
10,"7","7","5","7",1,42,2023
10,"7","8","7","7",2,37,2023
10,"8","8","8","8",2,22,2023
10,"9","9","5","7",1,58,2023
10,"9","8","9","6",1,19,2023
10,"8","8","8","8",1,38,2023
10,"10","8","9","9",1,56,2023
10,"9","8","8","8",1,27,2023
10,"10","7","8","7",2,38,2023
10,"6","8","8","9",2,49,2023
10,"10","9","9","10",2,33,2023
10,"9","8","8","6",1,47,2023
10,"8","5","5","6",1,22,2023
10,"10","9","8","10",1,56,2023
